og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch,sym_RS_scored
Asphodelus ramosus (misident.as.A.aestivus),Xanthorrhoeaceae,1,NA,NA,"3 sites, 7 km E from Jerusalem (Israel)",NA,NA,300,Semi-arid scrubland,Schuster et al. (1993). New Phytol. 123: 165-174.,NA,SC Xen,1,Jan-Mar.,NA,NA,Open at dusk,marcoshighquality,1,Asphodelus ramosus,NA
Aspidistra.xuanxonensis.var.xuansonensis,Asparagaceae,5 to 6,NA,NA,Xuan Son NP (Vietnam),NA,NA,NA,Tropical forest,Vislobokov et al. (2014). Amer. J. Bot. 101: 1519-1531.,NA,Unknown,NA,NA,NA,NA,NA,marcoshighquality,5.5,Aspidistra xuanxonensis var xuansonensis,NA
Aspidosperma.macrocarpon,Apocynaceae,3 to many,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,SI,1,NA,NA,NA,NA,marcoshighquality marcoscommunity,3,Aspidosperma macrocarpon,NA
Aspidosperma.tomentosum,Apocynaceae,3 to many,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoscommunity,3,Aspidosperma tomentosum,NA
Astragalus.depressus,Fabaceae,2.6,0.2,3,Mt. Olympos (Greece)-1994,40.06666667,22.45,2600 to 2750,Alpine meadow/scree,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2.6,Astragalus depressus,NA
Astragalus.monspessulanus,Fabaceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Astragalus monspessulanus,NA
Astrocaryum.vulgare,Arecaceae,0.666666667,NA,NA,CEIBA Biological Center (Guyana),6.499166667,-58.21833333,NA,Secondary tropical forest,Consiglio & Bourne (2001). J. Trop. Ecol. 17: 577-592.,NA,SC Fac xen,Thermogenesis,Late Apr-Aug. M species. Data for female flowers.,NA,NA,NA,marcoshighquality marcoshighquality,0.666666667,Astrocaryum vulgare,NA
Astrocaryum.vulgare,Arecaceae,2,NA,NA,NA,NA,NA,NA,NA,Consiglio & Bourne (2001). J. Trop. Ecol. 17: 577-592.,NA,NA,Thermogenesis,Late Apr-Aug. M species. Data for male flowers.,NA,NA,NA,marcoshighquality marcoshighquality,2,Astrocaryum vulgare,NA
Avicennia.germinans,Acanthaceae,1+,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Mangrove swamp,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Avicennia germinans,NA
Avicennia.marina.var.australasica,Acanthaceae,3.7,0.2,NA,"2 sites at Jarvis Bay, New South Wales (Australia)",-35.01666667,150.225,0,Mangrove swamp,Clarke & Myerscough (1991). Aust. J. Bot. 39: 283-293.,NA,SC Xen,1,Jan-Mar/Jun. Coordinates are the average of both sites. Flower measurements from Drake (1991). Aust. Syst. Bot. 3: 221-239.,3.8,0.2,NA,marcoshighquality,3.7,Avicennia marina var australasica,NA
Balanophora.fungosa ssp.indica,Balanophoraceae,2 to 5,NA,NA,Xuan Son NP (Vietnam),21.11555,104.94385,NA,Tropical forest,Vislobokov & Galinskaya (2018). Int. J. Plant Sci. 179: 341-349.,NA,NA,NA,D species. Data for males.,NA,NA,Open at night,marcoshighquality,3.5,Balanophora fungosa ssp indica,NA
Balanophora.harlandii,Balanophoraceae,1,NA,NA,Xuan Son NP (Vietnam),21.11515,104.9426667,NA,Tropical forest,Vislobokov & Galinskaya (2018). Int. J. Plant Sci. 179: 341-349.,NA,NA,NA,D species. Data for males.,NA,NA,Open at night,marcoshighquality,1,Balanophora harlandii,NA
Ballota.acetabulosa,Lamiaceae,1.4,0.13,3,Daphni (Greece),NA,NA,135 to 215,Mediterranean scrubland,Petanidou & Vokou (1993). Amer. J. Bot. 80: 892-899.,NA,NA,1,NA,NA,NA,NA,marcoshighquality,1.4,Ballota acetabulosa,NA
Bartsia.alpina,Orobanchaceae,5.8,0.2,3,Abisko (Sweden),68.35,18.81666667,400,Subarctic tundra,Molau (1991). Amer. J. Bot. 78: 326-339.,NA,SC,NA,June.,NA,NA,NA,marcoshighquality,5.8,Bartsia alpina,NA
Bauhinia.divaricata,Fabaceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,Am species. Data for hermaphrodites.,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Bauhinia divaricata,NA
Begonia.gracilis,Begoniaceae,4.9,0.1,3,"Pedregal de San Ángel EP, Mexico city (Mexico)",NA,NA,NA,NA,López & Domínguez (2003). J. Evol. Biol. 16: 1177-1185.,NA,SC Xen,NA,Aug-Oct. M species. Data for male flowers.,NA,NA,NA,marcoshighquality marcoshighquality,4.9,Begonia gracilis,NA
Begonia.gracilis,Begoniaceae,3.6,0.1,3,NA,NA,NA,NA,NA,López & Domínguez (2003). J. Evol. Biol. 16: 1177-1185.,NA,SC Xen,NA,Aug-Oct. M species. Data for female flowers.,NA,NA,NA,marcoshighquality marcoshighquality,3.6,Begonia gracilis,NA
Bellardia.trixago,Orobanchaceae,1.7,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.7,Bellardia trixago,NA
Bellis.annua,Asteraceae,1.4,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.4,Bellis annua,NA
Besleria.formosa,Gesneriaceae,2.6,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2.6,Besleria formosa,NA
Besleria.solanoides,Gesneriaceae,4.1,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1400 to 1500,Moist forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,4.1,Besleria solanoides,NA
Besleria.triflora,Gesneriaceae,4.6,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,4.6,Besleria triflora,NA
Billbergia.distachia,Bromeliaceae,3,NA,NA,"Itatiaia NP, Rio de Janeiro-Minas Gerais (Brazil)",NA,NA,NA,Montane tropical rainforest,"Zambon et al. (2020). Bot. J. Linn. Soc. 192: 816-827,",NA,SI,1,NA,NA,NA,NA,marcoshighquality,3,Billbergia distachia,NA
Biscutella.didyma,Brassicaceae,2.3,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2.3,Biscutella didyma,NA
Blechum.pyramidatum,Acanthaceae,0.5,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,Fall by noon,marcoshighquality marcoslowquality marcoscommunity,0.5,Blechum pyramidatum,NA
Blepharocalyx.salicifolius,Myrtaceae,1,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,SI,0,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Blepharocalyx salicifolius,NA
Blumenbachia amana,Loasaceae,0.875,0.028882545,NA,"Serra da Mantiqueira, Minas Gerais (Brazil)",-22.69975,-45.92608333,1500 to 1800,High elevation Araucaria forest,Siriani-Oliveira et al. (2018). Biol. J. Linn. Soc. 124: 479-491.,NA,SC,NA,NA,1.1,0.04472136,"Open during day, not sinc.",marcoshighquality,0.875,Blumenbachia amana,NA
Blumenbachia.insignis,Loasaceae,3.6,0.122474487,NA,"Guaritas, Rio Grande do Sul (Brazil)",-30.89472222,-53.41916667,226,Xeromorphic shrubland,Siriani-Oliveira et al. (2020). Plant Biol. 22: 167-176.,NA,SC,NA,NA,5,0.201246118,"Open during day, not sinc.",marcoshighquality,3.6,Blumenbachia insignis,NA
Bomarea.hirtella(=B.edulis),Alstroemeriaceae,14,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,14,Bomarea edulis,NA
Borreria.laevis(=Spermacoce.laevis),Rubiaceae,0.5,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,0.5,Spermacoce laevis,NA
Bretschneidera.sinensis,Akaniaceae,5 to 7,NA,NA,"Nankun Mountain, Guangdong (China)",23.8,114.6333333,420 to 560,Subtropical monsoon forest,Qiao et al. (2012). Pak. J. Bot. 44: 1897-1903.,NA,SC Xen,1,Bud longevity removed from the longevity.,NA,NA,NA,marcoshighquality,6,Bretschneidera sinensis,NA
Broughtonia.sanguinea,Orchidaceae,1+,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Broughtonia sanguinea,NA
Bunchosia.media(=B.nitida),Malpighiaceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Bunchosia nitida,NA
Burmeistera.cyclostigmata,Campanulaceae,8,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,8,Burmeistera cyclostigmata,NA
Burmeistera.parviflora,Campanulaceae,9.4,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,9.4,Burmeistera parviflora,NA
Bursera.simaruba,Burseraceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Bursera simaruba,NA
Butomus.umbellatus,Butomaceae,2.85,0.042257713,3,"Glenburnie, Ontario (Canada)",44.57505556,-76.4235,NA,Aquatic in lakes,Bhardwaj & Eckert (2001). Amer. J. Bot. 88: 2204-2213.,1,SC,1,NA,NA,NA,Neuter phase between male and female phase,marcoshighquality,2.85,Butomus umbellatus,NA
Byrsonima.coccolobifolia,Malpighiaceae,1,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,SI,Oil,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Byrsonima coccolobifolia,NA
Byrsonima.coriacea(=B.crassifolia),Malpighiaceae,1+,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Byrsonima crassifolia,NA
Byrsonima.verbascifolia,Malpighiaceae,1,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,SI,Oil,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Byrsonima verbascifolia,NA
Caesalpinia.calycina,Fabaceae,1,NA,0,"Two sites S from Livramento do Brumado, Bahia (Brazil)",-13.71666667,-41.85,NA,Caatinga,Lewis & Gibbs (1999). Pl. Syst. Bot. 217: 43-53.,NA,SI,1,NA,NA,NA,Open at dawn (5:30),marcoshighquality,1,Caesalpinia calycina,NA
Caesalpinia.gilliesii,Fabaceae,0.5,NA,NA,4 sites in Córdoba (Argentina),NA,NA,NA,Chaco y monte,Cocucci et al. (1992). Darwiniana 31: 111-135.,NA,NA,1,Oct-Feb. Am species. Data for h flowers.,NA,NA,Open at dusk,marcoshighquality,0.5,Caesalpinia gilliesii,NA
Caesalpinia.pluviosa.var.sanfranciscana,Fabaceae,dawn to mid-late afternoon,NA,0,"S from Livramento do Brumado, Bahia (Brazil)",-13.71666667,-41.85,NA,Caatinga,Lewis & Gibbs (1999). Pl. Syst. Bot. 217: 43-53.,NA,NA,1,NA,NA,NA,Open at dawn,marcoshighquality,0.5,Caesalpinia pluviosa var sanfranciscana,NA
Calathea.casupito,Maranthaceae,0.416666667,NA,1,PN Henri Pittier (Venezuela),10.35,-67.68333333,1000 to 1400,Cloud forest,Seres & Ramírez (1995). Ann. MO Bot. Gard. 82: 61-81.,NA,NA,1,"Maximum longevity given. Feb-Oct (from Seres & Ramírez, 1993).",NA,NA,Open in the morning,marcoshighquality,0.416666667,Calathea casupito,NA
Calendula.arvensis,Asteraceae,1.4,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.4,Calendula arvensis,NA
Calochortus.leichtlinii,Liliaceae,4,NA,NA,"Valentine Eastern Sierra Reserva, California (USA)",NA,NA,2400,Scrub and openings in Pinus forest,Holtsford (1985). Amer. J. Bot. 72: 1687-1694.,NA,SC,1,NA,NA,NA,NA,marcoshighquality,4,Calochortus leichtlinii,NA
Camellia.pubipetala,Theaceae,5 to 7,NA,NA,"Longhushan NR, Guangxi (China)",22.96086111,107.6236833,265,Seasonal rain forest,Chai et al. (2019). Plant Sp. Biol. 34: 141-151.,NA,SI,1,Late Jan-early Apr. Bird pollinated; pollen limited; low visitation rate.,NA,NA,NA,marcoshighquality,6,Camellia pubipetala,NA
Campanula.americana,Campanulaceae,1.729166667,0.030833333,NA,"Salt Pond Mountain, Virginia (USA)",NA,NA,NA,Temperate woodland,Evanhoe & Galloway (2002). Amer. J. Bot. 89: 587-591.,NA,NA,1,"Floral longevity assessed as the sum of the male and female longevities given in Fig. 2. Longevity of unvisited flowers calculated in the greehouse, not in the field.",5.5125,0.309583333,NA,marcoshighquality,1.729166667,Campanula americana,NA
Campanula.drabifolia.ssp.drabifolia,Campanulaceae,3,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,3,Campanula drabifolia ssp drabifolia,NA
Campanula.glomerata,Campanulaceae,5.7,0.12,NA,"Mt Olympos NP, 1850 m, 1994 (Greece)",40.06666667,22.45,1850,NA,Blionis et al. (2001). Ecography 24: 696-706.,NA,NA,NA,Jul. Corolla depth taken from Blionis & Vokou (2001).,NA,NA,NA,marcoshighquality,5.7,Campanula glomerata,NA
Campanula.lingulata,Campanulaceae,3.3,0.09,NA,"Mt Olympos NP, 1300 m, 1994 (Greece)",40.06666667,22.45,1300,NA,Blionis & Vokou (2001). Ecography 24: 287-297.,NA,NA,NA,NA,11.8,0.18,NA,marcoshighquality,3.3,Campanula lingulata,NA
Campanula.lingulata,Campanulaceae,2.3,0.09,NA,"Mt Olympos NP, 450 m, year A (Greece)",40.06666667,22.45,450,NA,Blionis et al. (2001). Ecography 24: 696-706.,NA,NA,NA,May-Jun. Year not clear. Corolla depth taken from Blionis & Vokou (2001).,NA,NA,NA,marcoshighquality marcoshighquality marcoshighquality marcoshighquality marcoshighquality marcoshighquality,2.3,Campanula lingulata,NA
Campanula.lingulata,Campanulaceae,2.8,0.21,NA,"Mt Olympos NP, 450 m, year B (Greece)",40.06666667,22.45,450,NA,Blionis et al. (2001). Ecography 24: 696-706.,NA,NA,NA,May-Jun. Year not clear. Corolla depth taken from Blionis & Vokou (2001).,NA,NA,NA,marcoshighquality marcoshighquality marcoshighquality marcoshighquality marcoshighquality marcoshighquality,2.8,Campanula lingulata,NA
Campanula.lingulata,Campanulaceae,3.5,0.12,NA,"Mt Olympos NP, 850 m, year A (Greece)",40.06666667,22.45,850,NA,Blionis et al. (2001). Ecography 24: 696-706.,NA,NA,NA,Jun. Year not clear. Corolla depth taken from Blionis & Vokou (2001).,NA,NA,NA,marcoshighquality marcoshighquality marcoshighquality marcoshighquality marcoshighquality marcoshighquality,3.5,Campanula lingulata,NA
Campanula.lingulata,Campanulaceae,3.5,0.34,NA,"Mt Olympos NP, 850 m, year B (Greece)",40.06666667,22.45,850,NA,Blionis et al. (2001). Ecography 24: 696-706.,NA,NA,NA,Jun. Year not clear. Corolla depth taken from Blionis & Vokou (2001).,NA,NA,NA,marcoshighquality marcoshighquality marcoshighquality marcoshighquality marcoshighquality marcoshighquality,3.5,Campanula lingulata,NA
Campanula.lingulata,Campanulaceae,5.2,0.2,NA,"Mr Olympos NP, 1300 m, 1993 (Greece)",40.06666667,22.45,1300,NA,Blionis et al. (2001). Ecography 24: 696-706.,NA,NA,NA,Jul. Corolla depth taken from Blionis & Vokou (2001).,NA,NA,NA,marcoshighquality marcoshighquality marcoshighquality marcoshighquality marcoshighquality marcoshighquality,5.2,Campanula lingulata,NA
Campanula.lingulata,Campanulaceae,3.1,0.14,NA,"Mt Olympos NP, 1700 m, 1993 (Greece)",40.06666667,22.45,1700,NA,Blionis et al. (2001). Ecography 24: 696-706.,NA,NA,NA,Jul. Corolla depth taken from Blionis & Vokou (2001).,NA,NA,NA,marcoshighquality marcoshighquality marcoshighquality marcoshighquality marcoshighquality marcoshighquality,3.1,Campanula lingulata,NA
Campanula.oreadum,Campanulaceae,7.7,0.51,NA,"Mt Olympos NP, 2500 m, year A (Greece)",40.06666667,22.45,2500,NA,Blionis et al. (2001). Ecography 24: 696-706.,NA,NA,NA,Jul. Year not clear. Corolla depth taken from Blionis & Vokou (2001).,NA,NA,NA,marcoshighquality marcoshighquality,7.7,Campanula oreadum,NA
Campanula.oreadum,Campanulaceae,9.8,0.53,NA,"Mt Olympos NP, 2500 m, year B (Greece)",40.06666667,22.45,2500,NA,Blionis et al. (2001). Ecography 24: 696-706.,NA,NA,NA,Jul. Year not clear. Corolla depth taken from Blionis & Vokou (2001).,NA,NA,NA,marcoshighquality marcoshighquality,9.8,Campanula oreadum,NA
Campanula.persicifolia,Campanulaceae,5,0.23,NA,"Mt Olympos NP, 900 m, 1994 (Greece)",40.06666667,22.45,900,NA,Blionis & Vokou (2001). Ecography 24: 287-297.,NA,NA,NA,NA,17,0.36,NA,marcoshighquality marcoshighquality,5,Campanula persicifolia,NA
Campanula.persicifolia,Campanulaceae,5.3,0.23,NA,"Mt Olympos NP, 1300 m, 1994 (Greece)",40.06666667,22.45,1300,NA,Blionis & Vokou (2001). Ecography 24: 287-297.,NA,NA,NA,NA,16.9,0.36,NA,marcoshighquality marcoshighquality,5.3,Campanula persicifolia,NA
Campanula.persicifolia,Campanulaceae,4.5,0.3,NA,"Mt Olympos NP, 900 m, 1993 (Greece)",40.06666667,22.45,900,NA,Blionis et al. (2001). Ecography 24: 696-706.,NA,NA,NA,Jun.,NA,NA,NA,marcoshighquality marcoshighquality,4.5,Campanula persicifolia,NA
Campanula.persicifolia,Campanulaceae,3.1,0.16,NA,"Mt Olympos NP, 1300 m, 1993 (Greece)",40.06666667,22.45,1300,NA,Blionis et al. (2001). Ecography 24: 696-706.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoshighquality,3.1,Campanula persicifolia,NA
Campanula.rapunculoides,Campanulaceae,2.72,0.058176734,3,"10 km N from State College, Pennsylvania (USA) -1985",NA,NA,NA,Roadside,Richardson & Stephenson (1989). Amer. J. Bot. 76: 532-538.,1,SI,NA,Jul-Aug.,NA,NA,NA,marcoshighquality marcoshighquality,2.72,Campanula rapunculoides,NA
Campanula.rapunculoides,Campanulaceae,2.52,0.074838327,3,"Agricultural Experiment Station, Rock Springs, Pennsylvania (USA) - 1986",NA,NA,NA,Greenhouse,Richardson & Stephenson (1989). Amer. J. Bot. 76: 532-538.,1,SI,NA,Jul-Aug.,NA,NA,NA,marcoshighquality marcoshighquality,2.52,Campanula rapunculoides,NA
Campanula.rotundifolia,Campanulaceae,5.1,0.14,NA,"Mt Olympos NP, 1500 m, 1994 (Greece)",40.06666667,22.45,1500,NA,Blionis et al. (2001). Ecography 24: 696-706.,NA,NA,NA,Jul. Corolla depth taken from Blionis & Vokou (2001).,NA,NA,NA,marcoshighquality marcoshighquality marcoshighquality,5.1,Campanula rotundifolia,NA
Campanula.rotundifolia,Campanulaceae,3.3,0.18,NA,"Mt Olympos NP, 2700 m, year A (Greece)",40.06666667,22.45,2700,NA,Blionis et al. (2001). Ecography 24: 696-706.,NA,NA,NA,Aug. Year not clear. Corolla depth taken from Blionis & Vokou (2001).,NA,NA,NA,marcoshighquality marcoshighquality marcoshighquality,3.3,Campanula rotundifolia,NA
Campanula.rotundifolia,Campanulaceae,3.5,0.16,NA,"Mt Olympos NP, 2700 m, year B (Greece)",40.06666667,22.45,2700,NA,Blionis et al. (2001). Ecography 24: 696-706.,NA,NA,NA,Year not clear. Corolla depth taken from Blionis & Vokou (2001).,NA,NA,NA,marcoshighquality marcoshighquality marcoshighquality,3.5,Campanula rotundifolia,NA
Campanula.rotundifolia,Campanulaceae,3.6,0.18,2,"Aiken Canyon Preserve, Colorado (USA)",38.61666667,-104.9,1900,NA,Giblin (2005). Amer. J. Bot. 92: 1714-1722.,NA,SI,NA,NA,8.4,0.22,NA,marcoshighquality marcoshighquality,3.6,Campanula rotundifolia,NA
Campanula.rotundifolia,Campanulaceae,7.9,0.22,2,"Pennsylvania Mountain, Colorado (USA)",39.25,-106.1166667,3400,NA,Giblin (2005). Amer. J. Bot. 92: 1714-1722.,NA,SI,NA,NA,11,0.22,NA,marcoshighquality marcoshighquality,7.9,Campanula rotundifolia,NA
Campanula.rotundifolia,Campanulaceae,2.86,0.372409571,2,"RMBL, Colorado (USA)",38.96,-106.99,2900,Alpine meadow,Fung & Thomson (2017). J. Poll. Ecol. 21: 86-91.,NA,NA,NA,NA,3,0.332340187,NA,marcoshighquality,2.86,Campanula rotundifolia,NA
Campanula.scheuchzeri,Campanulaceae,9,NA,1,"2 sites at Valais, Alps (Switzerland)",46.38333333,7.625,2700,Alpine meadow,Fabbro & Körner (2004). Flora 199: 70-81.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality,9,Campanula scheuchzeri,NA
Campanula.scheuchzeri,Campanulaceae,4.5,0.284018779,3,"Realp, Alps (Switzerland)",NA,NA,1600,Alpine meadow,Trunschke & Stocklin (2017). Alp. Bot. 127: 41-51.,NA,NA,NA,NA,7.91,0.3,NA,marcoshighquality marcoshighquality,4.5,Campanula scheuchzeri,NA
Campanula.scheuchzeri,Campanulaceae,4.3,0.154919334,3,"Furka Pass, Alps (Switzerland)",NA,NA,2600,Alpine meadow,Trunschke & Stocklin (2017). Alp. Bot. 127: 41-51.,NA,NA,NA,NA,11.49,0.9,NA,marcoshighquality marcoshighquality,4.3,Campanula scheuchzeri,NA
Campanula.sparsa,Campanulaceae,2.9,0.09,NA,"Mt Olympos NP, 1300 m, 1994 (Greece)",40.06666667,22.45,1300,NA,Blionis & Vokou (2001). Ecography 24: 287-297.,NA,NA,NA,NA,12.9,0.23,NA,marcoshighquality,2.9,Campanula sparsa,NA
Campanula.sparsa,Campanulaceae,2.5,0.12,NA,"Mt Olympos NP, 600 m, 1993 (Greece)",40.06666667,22.45,600,NA,Blionis et al. (2001). Ecography 24: 696-706.,NA,NA,NA,Jul.,NA,NA,NA,marcoshighquality marcoshighquality,2.5,Campanula sparsa,NA
Campanula.sparsa,Campanulaceae,4.5,0.13,NA,"Mt Olympos NP, 1400 m, 1993 (Greece)",40.06666667,22.45,1400,NA,Blionis et al. (2001). Ecography 24: 696-706.,NA,NA,NA,Jul.,NA,NA,NA,marcoshighquality marcoshighquality,4.5,Campanula sparsa,NA
Campanula.spatulata.subsp.spatulata,Campanulaceae,7.58,0.72,NA,Mt Olympos NP (Greece),40.06666667,22.45,1850,Mountain grassland,Blionis & Vokou (2002). Plant Syst. Evol. 232: 89-105.,NA,SI,NA,Jun-Jul. Flower length calculated as the sum of calix plus corolla lengths.,NA,NA,NA,marcoshighquality,7.58,Campanula spatulata subsp spatulata,NA
Campanula.spatulata.subs.spruneriana,Campanulaceae,2.2,0.32,NA,"Mt Olympos NP, 900 m, 1994 (Greece)",40.06666667,22.45,900,NA,Blionis & Vokou (2001). Ecography 24: 287-297.,NA,NA,NA,NA,10.8,0.54,NA,marcoshighquality,2.2,Campanula spatulata subs spruneriana,NA
Campanula.spatulata.subs.spruneriana,Campanulaceae,1.88,0.09,NA,"Mt Olympos NP, 400, 1993 (Greece)",40.06666667,22.45,400,NA,Blionis & Vokou (2002). Plant Syst. Evol. 232: 89-105.,NA,SI,NA,Apr. Flower length calculated as the sum of calix plus corolla lengths.,NA,NA,NA,marcoshighquality,1.88,Campanula spatulata subs spruneriana,NA
